EXTERNALIDENTIFIER,LONGDESCRIPTION,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
575111040,Lysol Laundry Sanitizer Additive  Crisp Linen  90oz,6,10,5,10,5,4,6.07,24.28,PICK_MODULE,23.45,26.03636364,18,9,2,4,MATRIX,Y
577378478,Planters Nut 24 Count Variety Pack  Salted Peanuts  Honey Roasted Peanuts & Salted Cashews Ready to Go Sleeves  40.5 oz Multi Pack Box,8.5,7.1,5,8.5,5,1,3.01,3.01,PICK_MODULE,36.19,25.87272727,17,9,2,4,MATRIX,Y
1176444,Duck Indoor Window Insulation Kit  Insulates 10 Windows  62 x 420 Film,9.5,2,8,9.5,2,6,1.1,6.62,PICK_MODULE,160,24.8,35,18,4,9,MATRIX,Y
573954334,Kindi Kids Snack Time Friends  Marsha Mello,10,13.5,5.5,13.5,5.5,2,2.51,5.01,PICK_MODULE,639.34,24.69090909,7,4,1,2,MATRIX,Y
573617350,Poise Ultra Thin Incontinence Pads for Women  Maximum Absorbency  48 Ct,12,4,7.5,12,4,4,2.1,8.42,OFFLINE_PICK,56.58,24.14545455,15,7,2,4,MATRIX,Y
555871473,Ball Smooth Glass Mason Jar W/ Lid & Band  Regular Mouth  16 Ounces  12 Count,9.75,5.25,13,13,5.25,1,7.12,7.12,PICK_MODULE,24.68,23.72727273,8,4,1,2,MATRIX,Y
576760783,Pampers Baby Wipes Complete Clean Scented 10X Refill (Tub Not Included) 720 Count,9.25,10.5,8,10.5,8,1,10.69,10.69,PICK_MODULE,517.21,23.69090909,7,3,1,2,MATRIX,Y
556736864,LEGO City Police Station 60141 Building Set (894 Pieces),14.75,4.2,18.75,18.75,4.2,2,4.97,9.93,PICK_MODULE,305.3,23.65454545,5,2,1,1,MATRIX,Y
566261688,LEGO Friends Friendship House41340Building Set (722 Pieces),14.75,3.5,13.5,14.75,3.5,2,2.91,5.82,PICK_MODULE,232.06,23.6,8,4,1,2,MATRIX,Y
572679366,Pampers Baby Wipes Sensitive 9X Refill (Tub Not Included) 576 Count,9.25,8.25,12.25,12.25,8.25,1,11.94,11.94,PICK_MODULE,40.94,22.85454545,6,3,1,1,MATRIX,Y
575759630,Crystal Light Sweet Tea Powdered Drink Mix  Low Caffeine  1.56 oz Can,6.5,2.25,2,6.5,2,12,0.2,2.39,PICK_MODULE,24.99,22.69090909,179,91,21,45,MATRIX,Y
572702914,HUGGIES Natural Care Baby Wipes 3 Refill Packs (Total 624 wipes),12.25,7.5,10.5,12.25,7.5,1,11.69,11.69,PICK_MODULE,600.16,22.52727273,5,3,1,1,MATRIX,Y
555203029,Hamilton Beach 12 Cup Programmable Coffee Maker   Model# 49465R,14,9,10.75,14,9,2,4.56,9.11,PICK_MODULE,11.55,22.38181818,4,2,0,1,MATRIX,Y
